"sector","entidad","nombre_entidad","grupo","nombre_grupo","orden"
27,"20","Total SOFIPOS",20,"Total SOFIPOS",1
27,"027001","Fincomún",20,"Total SOFIPOS",2
27,"027002","Batoamigo",20,"Total SOFIPOS",3
27,"027003","Unagra",20,"Total SOFIPOS",4
27,"027004","Finamigo",20,"Total SOFIPOS",5
27,"027005","Tamazula",20,"Total SOFIPOS",6
27,"027006","Alta Servicios Financieros",20,"Total SOFIPOS",7
27,"027007","Popular Nacional",20,"Total SOFIPOS",8
27,"027008","Monte de Piedad",20,"Total SOFIPOS",9
27,"027009","Klar",20,"Total SOFIPOS",10
27,"027010","Coincidir",20,"Total SOFIPOS",11
27,"027011","Te Creemos",20,"Total SOFIPOS",12
27,"027012","Ictineo ",20,"Total SOFIPOS",13
27,"027013","Credicapital",20,"Total SOFIPOS",14
27,"027014","Nu México",20,"Total SOFIPOS",15
27,"027015","Operaciones de tu Lado",20,"Total SOFIPOS",16
27,"027016","Auxi",20,"Total SOFIPOS",17
27,"027018","Unete",20,"Total SOFIPOS",18
27,"027019","SAE",20,"Total SOFIPOS",19
27,"027020","Multiplica",20,"Total SOFIPOS",20
27,"027021","Perseverancia",20,"Total SOFIPOS",21
27,"027022","Reforma",20,"Total SOFIPOS",22
27,"027023","Planfía",20,"Total SOFIPOS",23
27,"027024","Sierra Gorda",20,"Total SOFIPOS",24
27,"027025","Finsocial",20,"Total SOFIPOS",25
27,"027026","Caja Bienestar",20,"Total SOFIPOS",26
27,"027028","Acción y Evolución",20,"Total SOFIPOS",27
27,"027029","Opciones Empresariales",20,"Total SOFIPOS",28
27,"027030","F Broxel",20,"Total SOFIPOS",29
27,"027031","Progressa",20,"Total SOFIPOS",30
27,"027032","Stori",20,"Total SOFIPOS",31
27,"027033","Libertad",20,"Total SOFIPOS",32
27,"027034","Capital Activo",20,"Total SOFIPOS",33
27,"027035","Sofiexpress",20,"Total SOFIPOS",34
27,"027036","Fondeadora",20,"Total SOFIPOS",35
27,"027037","Financiera Más",20,"Total SOFIPOS",36
27,"027038","CAME",20,"Total SOFIPOS",37
27,"027039","Sofagro sofipo",20,"Total SOFIPOS",38
27,"027040","Impulso",20,"Total SOFIPOS",39
27,"027041","Devida",20,"Total SOFIPOS",40
27,"027042","Paso Seguro",20,"Total SOFIPOS",41
27,"027043","Opormex",20,"Total SOFIPOS",42
27,"027044","Súmate",20,"Total SOFIPOS",43
27,"027045","Ku-Bo",20,"Total SOFIPOS",44
27,"027046","Financiera Sustentable",20,"Total SOFIPOS",45
27,"027047","Crediclub",20,"Total SOFIPOS",46
27,"027048","COFIA",20,"Total SOFIPOS",47
27,"027049","Porvenir",20,"Total SOFIPOS",48
27,"027050","Premo",20,"Total SOFIPOS",49
27,"027051","Grensa",20,"Total SOFIPOS",50
27,"027052","TRAFALGAR",20,"Total SOFIPOS",51
